((10, 10, 2000, 100), 1700, 143.89766238856276, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'HOUSTON', 'ATLANTA', 'MIAMI', 'BOSTON'])
((5, 1, 500, 1000), 95, 144.0178509987453, ['BOSTON', 'MIAMI', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'PHOENIX', 'HOUSTON', 'ATLANTA', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((10, 5, 1500, 1000), 74, 144.05804498700732, ['BOSTON', 'MIAMI', 'ATLANTA', 'HOUSTON', 'ALBUQUERQUE', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'LAS VEGAS', 'OKLAHOMA CITY', 'INDIANAPOLIS', 'NEW YORK', 'BOSTON'])
((5, 1, 100, 2000), 18, 144.071619936075, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'HOUSTON', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'INDIANAPOLIS', 'BOSTON'])
((5, 1, 1500, 500), 1027, 144.071619936075, ['BOSTON', 'NEW YORK', 'MIAMI', 'ATLANTA', 'HOUSTON', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LAS VEGAS', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'INDIANAPOLIS', 'BOSTON'])
((5, 5, 1000, 1500), 414, 144.1462953908011, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'LAS VEGAS', 'PHOENIX', 'SAN DIEGO', 'LOS ANGELES', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((5, 1, 1500, 1500), 729, 144.21177322393362, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'ALBUQUERQUE', 'PHOENIX', 'LAS VEGAS', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'HOUSTON', 'MIAMI', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((10, 5, 1500, 1500), 198, 144.23499651005977, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'LAS VEGAS', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'LOS ANGELES', 'SAN DIEGO', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'MIAMI', 'ATLANTA', 'NEW YORK', 'BOSTON'])
((10, 5, 2000, 2000), 328, 144.30644912135742, ['BOSTON', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'PHOENIX', 'LOS ANGELES', 'SAN DIEGO', 'LAS VEGAS', 'SAN FRANCISCO', 'SEATTLE', 'SALT LAKE CITY', 'ALBUQUERQUE', 'HOUSTON', 'ATLANTA', 'MIAMI', 'NEW YORK', 'BOSTON'])
((10, 10, 500, 1500), 247, 144.3940950026874, ['BOSTON', 'NEW YORK', 'INDIANAPOLIS', 'OKLAHOMA CITY', 'SALT LAKE CITY', 'SEATTLE', 'SAN FRANCISCO', 'SAN DIEGO', 'LAS VEGAS', 'LOS ANGELES', 'PHOENIX', 'ALBUQUERQUE', 'HOUSTON', 'ATLANTA', 'MIAMI', 'BOSTON'])
